Variable,α,α²,Contribution [%]
N (Order Lines),0.7145162892045059,0.5105335275385772,51.053352753857716
tp (Picking Time),0.6425069094489615,0.41281512868965603,41.281512868965606
D (Distance),0.19331219946971792,0.03736960646382001,3.736960646382001
tw (Walking Time),0.1981962091159835,0.039281737307946665,3.9281737307946667
